location,link
"Ambience Caitriona, DLF Phase 3, Gurgaon",https://www.99acres.com/ambience-caitriona-dlf-phase-3-gurgaon-npxid-r37216
"Bestech Park View City, Sector 48, Gurgaon",https://www.99acres.com/bestech-park-view-city-resale-in-sector-48-gurgaon-1315-npffid
"Vipul Greens, Sector 48, Gurgaon",https://www.99acres.com/vipul-greens-sector-48-gurgaon-npxid-r12234
"New Shivalik Apartments, Sector 51, Gurgaon",https://www.99acres.com/new-shivalik-apartments-sector-51-gurgaon-npxid-r12198
"Birla Navya Avik, Sector 63, Gurgaon",https://www.99acres.com/birla-navya-avik-sector-63a-gurgaon-npxid-r409743
"Ambience Creacions, Sector 22, Gurgaon",https://www.99acres.com/ambience-creacions-sector-22-gurgaon-npxid-r39908
"Nul, Valley View Estate, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-valley-view-estate-gurgaon-976-sq-ft-spid-T74537841
"Oxirich Chintamanis, Sector 103, Gurgaon",https://www.99acres.com/oxirich-chintamanis-sector-103-gurgaon-npxid-r405511
"CGHS HEWO Apartments, Sector 56, Gurgaon",https://www.99acres.com/cghs-hewo-apartments-sector-56-gurgaon-npxid-r29074
"Corona Optus, Sector 37, Gurgaon",https://www.99acres.com/corona-optus-sector-37c-gurgaon-npxid-r2788
"DLF The Camellias, Sector 42, Gurgaon",https://www.99acres.com/dlf-the-camellias-sector-42-gurgaon-npxid-r129601
"DLF Ridgewood Estate, DLF Phase 4, Gurgaon",https://www.99acres.com/dlf-ridgewood-estate-dlf-phase-4-gurgaon-npxid-r12294
"DLF The Magnolias, Sector 42, Gurgaon",https://www.99acres.com/dlf-the-magnolias-sector-42-gurgaon-npxid-r660
"Sare Homes, Sector 92, Gurgaon",https://www.99acres.com/sare-crescent-parc-sector-92-gurgaon-npxid-r2220
"The United Friends Gh-31, Sector 1, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-1-imt-manesar-gurgaon-2025-sq-ft-spid-Z75289385
"Mapsko Mount Ville, Sector 79, Gurgaon",https://www.99acres.com/mapsko-mount-ville-sector-79-gurgaon-npxid-r3318
"Parsvnath Green Ville, Sector 48, Gurgaon",https://www.99acres.com/parsvnath-green-ville-sector-48-gurgaon-npxid-r28922
"nul, Valley View Estate, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-valley-view-estate-gurgaon-976-sq-ft-spid-T74537841
"Omaxe The Nile, Sector 49, Gurgaon",https://www.99acres.com/omaxe-the-nile-sector-49-gurgaon-npxid-r12336
"The Lions CGHS, Sector 56, Gurgaon",https://www.99acres.com/the-lions-cghs-sector-56-gurgaon-npxid-r64706
"Vipul Lavanya, Sector 81, Gurgaon",https://www.99acres.com/vipul-lavanya-sector-81-gurgaon-npxid-r1012
"Orris Carnation Residency, Sector 85, Gurgaon",https://www.99acres.com/orris-carnation-residency-sector-85-gurgaon-npxid-r591
"Kiran Residency, Sector 56, Gurgaon",https://www.99acres.com/kiran-residency-sector-56-gurgaon-npxid-r29200
"New Anand Apartments, Sector 56, Gurgaon",https://www.99acres.com/new-anand-apartments-sector-56-gurgaon-npxid-r12176
"Sagar Apartment, Sector 56, Gurgaon",https://www.99acres.com/3-bhk-flats-for-resale-in-sagar-apartment-sector-56-gurgaon-171191-npffid
"Emaar MGF Emerald Floors Premier, Sector 65, Gurgaon",https://www.99acres.com/emaar-mgf-emerald-floors-premier-sector-65-gurgaon-npxid-r652
"Central Park Flower Valley Aqua Front Towers, Sohna, Gurgaon",https://www.99acres.com/central-park-flower-valley-aqua-front-towers-sector-33-sohna-gurgaon-npxid-r269936
"Central Park The Room, Sector 48, Gurgaon",https://www.99acres.com/central-park-the-room-sector-48-gurgaon-npxid-r38348
"Ireo The Grand Arch, Sector 58, Gurgaon",https://www.99acres.com/ireo-the-grand-arch-sector-58-gurgaon-npxid-r659
"Vatika City, Sector 49, Gurgaon",https://www.99acres.com/vatika-city-sector-49-gurgaon-npxid-r12222
"Emaar Mgf Palm Terraces Select, Sector 66, Gurgaon",https://www.99acres.com/emaar-mgf-palm-terraces-select-sector-66-gurgaon-npxid-r904
"Bestech Park View Spa, Sector 47, Gurgaon",https://www.99acres.com/bestech-park-view-spa-sector-47-gurgaon-npxid-r603
"Pioneer Urban Presidia, Sector 62, Gurgaon",https://www.99acres.com/pioneer-urban-presidia-resale-in-sector-62-gurgaon-4738-npffid
"TARC Maceo, Sector 91, Gurgaon",https://www.99acres.com/tarc-maceo-sector-91-gurgaon-npxid-r7810
"Bestech Park View Grand Spa, Sector 81, Gurgaon",https://www.99acres.com/bestech-park-view-grand-spa-sector-81-gurgaon-npxid-r2086
"HCBS Sports Ville, Sohna, Gurgaon",https://www.99acres.com/hcbs-sports-ville-resale-in-sohna-gurgaon-184453-npffid
"The Close North, Nirvana Country, Gurgaon",https://www.99acres.com/the-close-north-nirvana-country-gurgaon-npxid-r10626
"Aabhas Society, Sector 56, Gurgaon",https://www.99acres.com/aabhas-society-sector-56-gurgaon-npxid-r29808
"Ansal Maple Heights, Sector 43, Gurgaon",https://www.99acres.com/ansal-maple-heights-sector-43-gurgaon-npxid-r12156
"Tarika Apartments, Sector 43, Gurgaon",https://www.99acres.com/tarika-apartments-sector-43-gurgaon-npxid-r26518
"GLS Avenue 51, Sector 92, Gurgaon",https://www.99acres.com/gls-avenue-51-sector-92-gurgaon-npxid-r272205
"ROF Ananda, Sector 95, Gurgaon",https://www.99acres.com/rof-ananda-sector-95-gurgaon-npxid-r270585
"Godrej Icon, Sector 88, Gurgaon",https://www.99acres.com/godrej-icon-sector-88a-gurgaon-npxid-r123001
"Microtek Greenburg, Sector 86, Gurgaon",https://www.99acres.com/microtek-greenburg-sector-86-gurgaon-npxid-r6194
"Orris Aster Court Premier, Sector 85, Gurgaon",https://www.99acres.com/orris-aster-court-premier-sector-85-gurgaon-npxid-r304099
"Ansal Maple Crescent, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/ansal-maple-crescent-sushant-lok-phase-1-gurgaon-npxid-r27952
"HUDA CGHS, Sector 56, Gurgaon",https://www.99acres.com/huda-cghs-sector-56-gurgaon-npxid-r26386
"DLF New Town Heights 1, Sector 90, Gurgaon",https://www.99acres.com/dlf-new-town-heights-1-sector-90-gurgaon-npxid-r62
"Emaar MGF The Vilas, DLF Phase 2, Gurgaon",https://www.99acres.com/emaar-mgf-the-vilas-resale-in-dlf-phase-2-gurgaon-54254-npffid
"Puri The Aravallis, Sector 61, Gurgaon",https://www.99acres.com/puri-the-aravallis-sector-61-gurgaon-npxid-r396420
"Vatika Lifestyle Homes, Sector 83, Gurgaon",https://www.99acres.com/vatika-lifestyle-homes-resale-in-sector-83-gurgaon-43798-npffid
"Unitech The World Spa West, Sector 30, Gurgaon",https://www.99acres.com/unitech-the-world-spa-west-sector-30-gurgaon-npxid-r1376
"Signature Global City 63A, Sector 63, Gurgaon",https://www.99acres.com/signature-global-city-63a-sector-63a-gurgaon-npxid-r395389
"M3M Antalya Hills, Sector 79, Gurgaon",https://www.99acres.com/m3m-antalya-hills-sector-79-gurgaon-npxid-r402610
"Signature Global City 92, Sector 92, Gurgaon",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657
"M3M The Marina, Sector 68, Gurgaon",https://www.99acres.com/m3m-the-marina-sector-68-gurgaon-npxid-r70450
